,State/UT,District,Households,Households_Rural_Livable,Households_Urban_Livable,Households_Rural_Dilapidated,Households_Urban_Dilapidated,Households_Rural_Toilet_Premise,Households_Urban_Toilet_Premise
0,Jammu and Kashmir,Kupwara,330018088.96,191740509.68576,163358954.0352,27391501.38368,15840868.270079998,161378845.50144,231672698.44992
1,Jammu and Kashmir,Badgam,352834899.21,163362558.33422998,119258195.93297999,13760561.06919,9173707.37946,293911471.04192996,318962748.88584
2,Laddakh,Leh,29587072.36,15237342.2654,16154541.50856,621328.51956,325457.79596,26066210.74916,28344415.32088
3,Laddakh,Kargil,23178447.36,16989801.91488,15946771.783679998,811245.6575999999,278141.36832,22436737.04448,22598986.176
4,Jammu and Kashmir,Punch,217291184.64,129288254.8608,59320493.40672,5214988.431359999,1738329.4771200002,29768892.295679998,163620262.03392
5,Jammu and Kashmir,Rajouri,456155620.84,241306323.42435998,84844945.47624001,12316201.762680002,7754645.55428,46527873.325679995,390013055.8182
6,Jammu and Kashmir,Kathua,461592334.09,169404386.61103,124629930.20429999,16155731.693149999,14309362.356789999,65546111.44077999,309728456.17438996
7,Jammu and Kashmir,Baramula,673272756.25,310378740.63125,228912737.125,35683456.08125,33663637.8125,500241657.89375,622777299.53125
8,Jammu and Kashmir,Bandipore,96189017.76,51653502.53712001,29818595.505599998,7117987.31424,4136127.7636800003,67428501.44976,90706243.74768
9,Jammu and Kashmir,Srinagar,687692931.21,264074085.58464,159544760.04072002,43324654.66623,15129244.486620001,609983629.98327,674626765.51701
10,Jammu and Kashmir,Ganderbal,59824037.16,28356593.61384,13161288.1752,5683283.5302,2692081.6722,41577705.8262,54619345.92707999
11,Jammu and Kashmir,Pulwama,286364237.29,123136622.0347,121418436.61096,13172754.915339999,8590927.118700001,179550376.78083003,260877820.17119
12,Jammu and Kashmir,Shupiyan,65428685.44,21722323.566080004,22507467.79136,3860292.4409600003,2159146.6195199997,38602924.4096,62026393.79712
13,Jammu and Kashmir,Anantnag,771356192.89,333997231.52137,219836514.97364998,39339165.83739,23912041.979590002,391848945.98811996,582373925.63195
14,Jammu and Kashmir,Kulgam,146724769.0,71895136.81,61624402.98,6896064.143000001,6162440.298,61184228.673,85833989.865
15,Jammu and Kashmir,Doda,178535026.89,107121016.134,42312801.37293,2856560.4302399997,5177515.779809999,42848406.4536,166751715.11526
16,Jammu and Kashmir,Ramban,80321028.84,41365329.8526,15501958.566120002,1686741.6056400002,1927704.6921599999,14297143.133520002,66425490.85068001
17,Jammu and Kashmir,Kishtwar,61420136.41,31938470.933199998,8291718.415349999,2088284.6379399998,429940.95486999996,12284027.281999998,57366407.406940006
18,Jammu and Kashmir,Udhampur,336208896.0,150285376.512,57155512.32,6724177.92,6051760.1280000005,24879458.304,252492880.896
19,Jammu and Kashmir,Reasi,116279558.89,63837477.83061,45930425.761549994,1744193.38335,1279075.14779,10465160.3001,91628292.40531999
20,Jammu and Kashmir,Jammu,2526158068.81,970044698.42304,570911723.5510601,123781745.37169,85889374.33953999,621434884.92726,2144708200.4196901
21,Jammu and Kashmir,Samba,130498636.96,39802084.2728,23228757.37888,4306455.019679999,1435485.0065600001,33929645.6096,92262536.33072
22,Himachal Pradesh,Chamba,400924533.61,152351322.7718,74571963.25146002,9221264.27303,2806471.73527,195651172.40168,348804344.2407
23,Himachal Pradesh,Kangra,3935404195.84,995657261.5475202,747726797.2096001,55095658.74175999,62966467.13344001,2534400302.12096,3238837653.17632
24,Himachal Pradesh,Lahul and Spiti,3039443.56,1024292.4797200002,,24315.54848,,2373805.42036,
25,Himachal Pradesh,Kullu,356091996.16,97925298.94400002,54838167.408640005,4273103.95392,4629195.950080001,193001861.91872,322619348.52096003
26,Himachal Pradesh,Mandi,2142069806.25,599779545.75,370578076.48125,34273116.9,14994488.64375,1756497241.125,1970704221.75
27,Himachal Pradesh,Hamirpur,446679771.04,96482830.54464,76828920.61888,4466797.7104,2680078.62624,397991675.99664,412285428.66992
28,Himachal Pradesh,Una,421140170.89,106548463.23517,102758201.69715999,5895962.39246,20214728.202719998,247630420.48331997,314170567.48393995
29,Himachal Pradesh,Bilaspur,270421580.25,72743405.08725,45701247.062249996,3515480.54325,2163372.642,186050047.212,252844177.53375
30,Himachal Pradesh,Solan,596805356.16,146217312.2592,111602601.60192,11339301.76704,8355274.9862399995,411795695.7504,535931209.83167994
31,Himachal Pradesh,Sirmaur,369239283.36,114094938.55824,72740138.82192001,10338699.93408,3692392.8336,210097152.23184,354838951.30895996
32,Himachal Pradesh,Shimla,1407487772.25,343427016.42899996,254755286.77725002,32372218.761749998,18297341.03925,841677687.8055,1276591409.43075
33,Himachal Pradesh,Kinnaur,19814961.96,5805783.854280001,,198149.6196,,13711953.676320001,
34,Punjab,Gurdaspur,3676578971.04,1816230011.6937602,1511073957.0974402,330892107.3936,191182106.49408,1841966064.49104,3147151599.21024
35,Punjab,Kapurthala,682270072.09,282459809.84526,218326423.0688,41618474.39749,27973072.955689996,528077035.79766005,642016137.83669
36,Punjab,Jalandhar,5014480969.0,2341762612.5230002,1910517249.189,310897820.078,240695086.512,3811005536.44,4803872768.302
37,Punjab,Hoshiarpur,3038931002.25,1245961710.9225,1042353333.7717499,197530515.14625,148907619.11025003,1732190671.2825,2701609661.0002503
38,Punjab,Shahid Bhagat Singh Nagar,536158656.01,214999621.06001,193017116.1636,28952567.42454,34850312.640650004,358153982.21467996,456271016.26451
39,Punjab,Fatehgarh Sahib,305886108.16,119601468.29056002,107977796.18048,19576710.922240004,13764874.8672,252356039.232,287227055.56224
40,Punjab,Ludhiana,10749977860.41,4848240015.04491,4396740944.90769,763248428.0891099,526748915.16009,9406230627.85875,10416728546.73729
41,Punjab,Moga,831970567.21,376050696.3789201,289525757.38908,61565821.97354001,55742028.003070004,710502864.39734,787876127.1478701
42,Punjab,Firozpur,2523957121.0,1284694174.589,1037346376.7310001,272587369.068,179200955.591,1680955442.5859997,2289229108.747
43,Punjab,Muktsar,502463606.49,265300784.22672,202492833.41546997,53763605.89443,45724188.19059,363281187.49227,451212318.62802005
44,Punjab,Faridkot,252374527.69,123663518.56809999,101959309.18676,19432838.63213,20442336.742889997,202151996.67968997,234203561.69632
45,Punjab,Bathinda,1265381412.84,646609901.96124,409983577.76015997,93638224.55016,68330596.29336001,1066716531.0241199,1178070095.35404
46,Punjab,Mansa,385686393.21,179344172.84265,131519060.08461,27769420.31112,22755497.19939,242596741.32908997,327833434.2285
47,Punjab,Patiala,2676706821.61,1284819274.3727999,861899596.5584201,190046184.33431,112421686.50762,2069094373.10453,2593728910.1400905
48,Punjab,Amritsar,4368588682.09,2411460952.51368,1856650189.88825,340749917.20302004,235903788.83286002,2656101918.71072,4080261829.0720606
49,Punjab,Tarn Taran,713819462.76,397597440.75732005,311225285.76336,57819376.483559996,50681181.85596,462555011.86847997,626019668.84052
50,Punjab,Rupnagar,435552726.01,155056770.45956,120212552.37876,26133163.560599998,21777636.3005,247829501.09969,399401849.75117
51,Punjab,Sahibzada Ajit Singh Nagar,848760822.25,366664675.2120001,201156314.87325,61959540.02425,32252911.2455,515197819.10575,784254999.7590001
52,Punjab,Sangrur,2015507151.36,921086768.1715201,693334460.06784,122945936.23296,94728836.11392,1584188620.9689596,1854266579.2512
53,Punjab,Barnala,245859264.01,122192054.21297,100802298.2441,15980852.16065,14505696.57659,197179129.73602,221765056.13702
54,Chandigarh,Chandigarh,890228666.89,417517244.77141,236800825.39274,24926402.67292,31158003.341149997,783401226.8632,779840312.19564
55,Uttarakhand,Uttarkashi,146916216.81,39667378.5387,23359678.472790003,4407486.5043,1175329.73448,58031905.63995,134428338.38115
56,Uttarakhand,Chamoli,347225956.0,91320426.42800002,40278210.896,8680648.9,3125033.6040000003,163196199.32,303822711.5
57,Uttarakhand,Rudraprayag,137262312.81,27177937.93638,13314444.34257,2607983.9433899997,411786.93843000004,70003779.53310001,125732278.53396
58,Uttarakhand,Tehri Garhwal,646359436.96,178395204.60096002,68514100.31776,18098064.23488,4524516.05872,323826077.91696,619858700.0446401
59,Uttarakhand,Dehradun,2476435790.44,661208356.04748,505192901.24976,96580995.82716,59434458.97056,1847421099.66824,2357566872.49888
60,Uttarakhand,Garhwal,1001481974.44,251371975.58444005,144213404.31936002,18026675.539920002,11016301.718840001,483715793.65452003,948403429.79468
61,Uttarakhand,Pithoragarh,440760632.49,111953200.65246001,43635302.616510004,10137494.54727,2203803.16245,211565103.5952,425334010.35285
62,Uttarakhand,Bageshwar,99822079.21,25055341.88171,9083809.20811,2894840.29709,898398.7128899998,53404812.377349995,89839871.28899999
63,Uttarakhand,Almora,790385750.44,190482965.85604003,114605933.8138,13436557.757480001,10275014.75572,407839047.22704005,726364504.65436
64,Uttarakhand,Champawat,96120376.81,38736511.85443,27009825.88361,5767222.6086,5671102.231790001,38832632.231240004,76800181.07119
65,Uttarakhand,Nainital,891995875.69,282762692.59373003,176615183.38662001,45491789.66019,26759876.2707,619045137.7288601,845612090.15412
66,Uttarakhand,Udham Singh Nagar,1719420862.81,789214176.0297899,625869194.06284,115201197.80826999,68776834.5124,978350470.93889,1581867193.7851999
67,Uttarakhand,Hardwar,2381547361.21,1150287375.4644299,602531482.38613,126222010.14413,52394041.94662001,1195536775.32742,2205312856.4804597
68,Haryana,Panchkula,270770316.01,95311151.23552,61464861.73427,13267745.484490002,12726204.85247,119138939.04439999,237194796.82476
69,Haryana,Ambala,993863455.36,439287647.26912004,282257221.32224,42736128.58048,32797494.026879996,507864225.68896,887520065.63648
70,Haryana,Yamunanagar,1279657447.29,602718657.6735901,433803874.63131,81898076.62656,51186297.8916,588642425.7534,1176005194.05951
71,Haryana,Kurukshetra,851594960.41,391733681.7886,252072108.28136003,36618583.29763,29805823.61435,588452117.64331,786873743.41884
72,Haryana,Kaithal,941182633.69,456473577.33965003,347296391.83161,45176766.41712,38588487.98129,543062379.6391301,778358038.0616301
73,Haryana,Karnal,1836996744.04,872573453.4189999,538240046.00372,90012840.45796,47761915.34503999,1260179766.41144,1682689017.5406399
74,Haryana,Panipat,1071292176.36,509935075.94736,417803948.78040004,44994271.40712,31067473.114439998,714551881.63212,1016656275.3656402
75,Haryana,Sonipat,1742511443.56,874740744.6671201,620334073.90736,81898037.84732,59245389.08104,979291431.2807201,1606595550.9623199
76,Haryana,Jind,1354240000.0,692016640.0,459087360.0,67712000.0,37918719.99999999,694725120.0,1186314239.9999998
77,Haryana,Fatehabad,667602244.0,309767441.21599996,225649558.47199997,38053327.908,32712509.956000004,486682035.87600005,606850439.796
78,Haryana,Sirsa,1147800192.64,478632680.33088005,378774063.5712,67720211.36576001,47059807.89824,1004325168.5600002,1100740384.74176
79,Haryana,Hisar,2080509278.76,967436814.6234,669923987.76072,114428010.3318,68656806.19908,1300318299.225,1862055804.4901998
80,Haryana,Bhiwani,2081932635.24,955607079.5751599,866083976.2598401,110342429.66771999,91605035.95056002,1024310856.5380801,1807117527.38832
81,Haryana,Rohtak,942133913.64,464472019.42451996,313730593.24211997,44280293.94108,25437615.66828,550206205.56576,867705334.4624399
82,Haryana,Jhajjar,841835407.36,379667768.71936005,344310681.61024004,41249934.960640006,37882593.331199996,492473713.3056,771963068.5491201
83,Haryana,Mahendragarh,717929153.64,302248173.68244,267069645.15408,22255803.76284,20102016.30192,279992369.9196,554241306.61008
84,Haryana,Rewari,722287125.16,301193731.19172,223909008.7996,23835475.13028,17334891.00384,359698988.32967997,634168095.8904799
85,Haryana,Gurgaon,2742522634.81,1077811395.48033,751451201.9379399,87760724.31392,106958382.75759,1799094848.4353597,2514893256.12077
86,Haryana,Mewat,500126132.25,292073661.23399997,206051966.48700002,45011351.9025,24006054.347999997,89022451.54050002,312578832.65625
87,Haryana,Faridabad,2215406037.61,957055408.2475201,866223760.7055101,95262459.61723,53169744.90264,1298227938.0394602,1976142185.54812
88,Haryana,Palwal,620802072.81,317229859.20590997,224730350.35722,39110530.58702999,22348874.621159997,199277465.37201,514024116.2866799
89,Delhi,North West,10544558356.89,4913764194.3107395,3627328074.7701597,474505126.06004995,347970425.77737,6759061906.766489,9057775628.56851
90,Delhi,North,906437470.41,229328680.01373002,336288301.52211,8157937.233689999,31725311.46435,888308721.0018,814887285.8985901
91,Delhi,North East,2377352315.61,865356242.8820399,846337424.3571601,66565864.83708,47547046.3122,2258484699.8295,2260862052.1451097
92,Delhi,East,2136454795.24,143142471.28108,517022060.44808,25637457.542880002,40592641.10956,2095862154.1304398,1995448778.7541602
93,Delhi,New Delhi,27734968.96,,7987671.060480001,,1026193.8515200001,,21605540.819840003
94,Delhi,Central,379848406.09,,149280423.59337,,12155148.994879998,,344902352.72972
95,Delhi,West,4921190861.44,2376935186.0755196,1417302968.09472,88581435.50592,137793344.12031996,4286357240.3142395,4424150584.43456
96,Delhi,South West,4194919731.24,1489196504.5902,1161992765.55348,138432351.13092,109067913.01224,3678944604.2974796,3825766794.89088
97,Delhi,South,5344531099.69,2207291344.1719694,1619392923.20607,245848430.58573997,154991401.89101,4842145176.3191395,4703187367.7272
98,Rajasthan,Ganganagar,3165120088.36,1332515557.1995602,1019168668.4519202,79128002.209,104448962.91588,2573242631.83668,2962552402.70496
99,Rajasthan,Hanumangarh,2477580490.09,911749620.35312,797780917.8089801,59461931.76216,76804995.19279,2039048743.3440702,2326448080.19451
100,Rajasthan,Bikaner,2829527164.89,1431740745.43434,772460916.01497,138646831.07961,48101961.80313,834710513.6425499,2620142154.6881394
101,Rajasthan,Churu,2439302954.49,956206758.16008,741548098.1649599,141479571.36042,53664664.998780005,1146472388.6102998,2134390085.1787498
102,Rajasthan,Jhunjhunun,4235523544.81,1033467744.93364,1075822980.3817399,101652565.07543999,76239423.80658,1935634259.9781702,3494306924.4682503
103,Rajasthan,Alwar,9905444581.21,3912650609.57795,2852768039.3884797,356596004.92355996,158487113.29935998,1466005798.01908,7855017552.8995285
104,Rajasthan,Bharatpur,,,,,,,
105,Rajasthan,Dhaulpur,746907036.16,436193709.11744,297269000.39167994,49295864.38655999,26141746.2656,35851537.73568,469057618.70848
106,Rajasthan,Karauli,1327545660.25,828388491.9959999,550931449.00375,74342556.97399999,41153915.46775,108858744.1405,828388491.9959999
107,Rajasthan,Sawai Madhopur,1248357290.41,689093224.3063201,434428337.06268,54927720.77804001,32457289.550660003,109855441.55608001,901313963.67602
108,Rajasthan,Dausa,1769834416.36,833592010.10556,474315623.58448,93801224.06707998,24777681.82904,164594600.72148,1362772500.5972
109,Rajasthan,Jaipur,30021765170.41,12789271962.59466,8135898361.18111,1260914137.15722,360261182.04491997,6604788337.4902,27229741009.56187
110,Rajasthan,Sikar,4982016355.56,1564353135.6458402,1340162399.6456401,139496457.95568,79712261.68896002,2002770574.9351203,4219767853.159321
111,Rajasthan,Nagaur,7093025244.01,3291163713.22064,2269768078.0832,446860590.37263,170232605.85624,1879651689.66265,5716978346.672059
112,Rajasthan,Jodhpur,7950522056.49,3935508417.96255,2051234690.57442,413427146.93748003,135158874.96032998,1089221521.73913,7163420372.897489
113,Rajasthan,Jaisalmer,360798628.09,202408030.35849,145762645.74835998,11545556.09888,6133576.677529999,60253370.89103,239931087.67984998
114,Rajasthan,Barmer,3585674280.25,2129890522.4685001,1039845541.2725,190040736.85325,89641857.00625,347810405.18424994,2968938304.047
115,Rajasthan,Jalor,2184795867.24,1138278646.8320398,797450491.5425999,183522852.84815997,87391834.68959999,246881932.99812,1352388641.8215597
116,Rajasthan,Sirohi,949712142.76,482453768.52208,254522854.25968003,65530137.85044,18044530.71244,153853367.12712,647703681.3623201
117,Rajasthan,Pali,4260394820.89,2134457805.26589,1414451080.53548,230061320.32806,106509870.52225,796693831.5064299,2943932821.2349896
118,Rajasthan,Ajmer,4682035365.16,2336335647.21484,1306287866.8796399,159189202.41544,51502389.01676001,660166986.4875599,4035914484.76792
119,Rajasthan,Tonk,1449066035.56,783944725.2379601,526010970.90827996,27532254.67564,36226650.889,99985556.45364,952036385.36292
120,Rajasthan,Bundi,919836109.44,517867729.61472,309064932.77184004,31274427.720960002,18396722.1888,76346397.08352001,590534782.26048
121,Rajasthan,Bhilwara,4568137744.0,2535316447.92,1375009460.944,164452958.784,59385790.672,479654463.12,3412398894.7679996
122,Rajasthan,Rajsamand,1337189369.76,730105395.88896,413191515.25584,56161953.529920004,13371893.6976,151102398.78288,954753210.0086402
123,Rajasthan,Dungarpur,1255731357.69,779809173.1254901,321467227.56864,77855344.17678,26370358.511490002,114271553.54979,930496936.0482899
124,Rajasthan,Banswara,1847658643.36,1267493829.34496,434199781.1896,168136936.54575998,42496148.79727999,127488446.39184,1524318380.7719998
125,Rajasthan,Chittaurgarh,2076196564.09,1139831913.6854098,556420679.17612,74743076.30724,37371538.15362,199314870.15263999,1505242508.96525
126,Rajasthan,Kota,2654197057.21,1228893237.48823,777679737.7625301,74317517.60188,50429744.08698999,326466238.03683,2038423339.93728
127,Rajasthan,Baran,1017533441.44,515889454.81008005,355119171.06256,31543536.68464,20350668.8288,76315008.108,583046661.94512
128,Rajasthan,Jhalawar,1313243377.69,784006296.48093,393973013.30700004,56469465.24067,27578110.93149,94553523.19368,878559819.6746101
129,Rajasthan,Udaipur,7194737755.24,4324037390.8992405,1582842306.1528,273400034.69912,86336853.06288,669110611.2373201,6201863945.01688
130,Rajasthan,Pratapgarh,547943827.24,346300498.81568,131506518.5376,13698595.681,7671213.581359999,33972517.28888,384108622.89523995
131,Uttar Pradesh,Saharanpur,7907442206.44,3676960625.9946,2949475943.0021195,450724205.76708,245130708.39964,3392292706.56276,7274846829.9248
132,Uttar Pradesh,Muzaffarnagar,9406090225.0,4721857292.95,3762436090.0,432680150.35,300994887.2,5163943533.525,8710039548.35
133,Uttar Pradesh,Bijnor,8254140415.29,4341677858.44254,3524517957.32883,453977722.84095,264132493.28928003,4160086769.3061595,7626825743.727961
134,Uttar Pradesh,Moradabad,10981279430.56,6973112438.4056,5073351096.91872,658876765.8336,351400941.77792,5249051567.807679,10278477547.004158
135,Uttar Pradesh,Rampur,2915913600.64,1892427926.81536,1414218096.3104,180786643.23968,113720630.42495999,1644575270.7609599,2749706525.40352
136,Uttar Pradesh,Jyotiba Phule Nagar,2037384878.76,1232617851.6498,1032954133.5313201,120205707.84684,81495395.1504,821066106.14028,1874394088.4592001
137,Uttar Pradesh,Meerut,6461314153.29,3224195762.4917097,2319611781.03111,264913880.28489,135687597.21909,3430957815.3969903,6002560848.40641
138,Uttar Pradesh,Baghpat,998850741.16,522398937.6266799,464465594.63939995,31963223.71712,30964372.97596,587324235.8020799,864005891.1034
139,Uttar Pradesh,Ghaziabad,14202037087.29,7200432803.25603,4842894646.76589,511273335.14244,255636667.57122,8492818178.19942,13463531158.750921
140,Uttar Pradesh,Gautam Buddha Nagar,2598654529.0,1099230865.767,730221922.649,62367708.695999995,33782508.877000004,1343504391.493,2377768894.035
141,Uttar Pradesh,Bulandshahr,7745355259.29,4360635010.980269,3353738827.2725697,333050276.14947,216869947.26011997,2393314775.1206098,6583551970.396501
142,Uttar Pradesh,Aligarh,7362652474.81,4174623953.2172704,3121764649.3194404,316594056.41683,198791616.81987002,1575607629.60934,6214078688.739641
143,Uttar Pradesh,Mahamaya Nagar,1391536190.89,766736441.18039,645672792.57296,58444520.01738001,44529158.10848001,229603471.49685,1011646810.7770302
144,Uttar Pradesh,Mathura,3425643841.0,1825868167.2529998,1387385755.605,137025753.64,78789808.343,671426192.8360001,2781622798.892
145,Uttar Pradesh,Agra,8168960153.29,4321379921.09041,3120542778.5567803,351265286.59146994,155210242.91251,1356047385.44614,6698547325.697801
146,Uttar Pradesh,Firozabad,2866188954.24,1650924837.64224,1493284445.15904,192034659.93407997,114647558.1696,326745540.78336,2353141131.43104
147,Uttar Pradesh,Mainpuri,1691331425.64,903170981.2917601,703593873.0662401,126849856.92300001,74418582.72816001,228329742.46140003,1275263894.9325602
148,Uttar Pradesh,Budaun,7527714053.76,4923124991.15904,3899355879.84768,609744838.35456,474245985.38688004,1580819951.2896,5833978391.6640005
149,Uttar Pradesh,Bareilly,9888532369.21,6229775392.6023,4608056084.05186,761416992.4291699,395541294.76839995,4430062501.406079,9127115376.780828
150,Uttar Pradesh,Pilibhit,2128807321.0,1334762190.2670002,970736138.376,195850273.53199998,178819814.96400002,755726598.955,1890380901.0479999
151,Uttar Pradesh,Shahjahanpur,4290289300.09,2638527919.55535,2132273782.1447303,514834716.0108,351803722.60738,1158378111.0243,3685358508.7773104
152,Uttar Pradesh,Kheri,7440960121.0,4762214477.44,3407959735.4179997,825946573.4309999,662245450.769,1361695702.1430001,5670011612.202001
153,Uttar Pradesh,Sitapur,8815369656.04,5456713817.08876,3737716734.16096,1066659728.3808402,749306420.7634001,1049028989.06876,6347066152.348802
154,Uttar Pradesh,Hardoi,8238775363.29,5132757051.32967,3822791768.5665603,683818355.1530701,543759173.97714,1433546913.21246,6096693768.8345995
155,Uttar Pradesh,Unnao,5145996307.36,3036137821.3424,2274530367.8531203,375657730.43727994,262445811.67535996,813067416.5628799,3689679352.3771195
156,Uttar Pradesh,Lucknow,11272514818.41,6447878476.13052,3505752108.5255103,935618729.9280301,462173107.5548099,2423590685.95815,9885995495.74557
157,Uttar Pradesh,Rae Bareli,6059345827.24,3356877588.2909603,2066236927.08884,472628974.52472,315085983.01647997,811952340.8501601,4308194883.16764
